Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
pikachu-vmax-alt-art,Pikachu VMAX Alt Art,"<p>Ultra rare Pikachu VMAX alternate art card. Near Mint condition. A must-have for any serious Pokémon collector.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"Pokemon, Rare Singles, Alt Art, Near Mint",true,Condition,Near Mint,PKM-001,50,shopify,3,deny,manual,89.99,129.99,true,true,active
pokemon-etb-obsidian-flames,Pokémon ETB Obsidian Flames,"<p>Sealed Elite Trainer Box — Obsidian Flames expansion. Contains 9 booster packs, energy cards, sleeves, dice, and more.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"Pokemon, Elite Trainer Boxes, Sealed Sets, New Drop",true,Condition,Factory Sealed,PKM-002,800,shopify,12,deny,manual,49.99,,true,true,active
pokemon-booster-box-151,Pokémon 151 Booster Box,"<p>Sealed 151 booster box — 36 packs. Relive the original 151 Pokémon in this highly sought-after set.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"Pokemon, Booster Packs, Sealed Sets, Hot Item",true,Condition,Factory Sealed,PKM-003,1200,shopify,5,deny,manual,159.99,199.99,true,true,active
charizard-ex-special-art,Charizard ex Special Art Rare,"<p>Special Art Rare Charizard ex from the Obsidian Flames set. PSA 9 potential. Card is in Near Mint condition.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"Pokemon, Rare Singles, Special Art, Near Mint, Hot Item",true,Condition,Near Mint,PKM-004,50,shopify,2,deny,manual,149.99,199.99,true,true,active
pokemon-booster-packs-bundle,Pokémon 10-Pack Booster Bundle,"<p>10 assorted Pokémon TCG booster packs from various recent sets. Great way to start or expand your collection.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"Pokemon, Booster Packs, Bundle, Value Pack",true,Condition,Factory Sealed,PKM-005,300,shopify,20,deny,manual,39.99,,true,true,active
luffy-gear-5-leader,Luffy Gear 5 Leader Card,"<p>Monkey D. Luffy Gear 5 Leader card — alternate art. One of the most iconic cards in the One Piece TCG.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"One Piece, Leader Cards, Alt Art Rarities, Near Mint, Hot Item",true,Condition,Near Mint,OP-001,50,shopify,4,deny,manual,74.99,99.99,true,true,active
onepiece-booster-box-op06,One Piece Booster Box OP-06 Wings of the Captain,"<p>Sealed One Piece TCG booster box — OP-06 Wings of the Captain. 24 packs per box.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"One Piece, Booster Boxes, Sealed Sets, New Drop",true,Condition,Factory Sealed,OP-002,800,shopify,8,deny,manual,109.99,,true,true,active
shanks-alt-art-manga,Shanks Manga Alt Art,"<p>Shanks alternate art manga rare from OP-01. Beautiful artwork and highly collectible.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"One Piece, Alt Art Rarities, Rare Singles, Near Mint",true,Condition,Near Mint,OP-003,50,shopify,3,deny,manual,59.99,79.99,true,true,active
onepiece-starter-deck-zoro,One Piece Starter Deck — Zoro,"<p>Ready-to-play starter deck featuring Roronoa Zoro as the leader. Perfect for beginners.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"One Piece, Sealed Sets, Starter Deck",true,Condition,Factory Sealed,OP-004,300,shopify,15,deny,manual,14.99,,true,true,active
onepiece-booster-packs-5,One Piece 5-Pack Booster Bundle,"<p>5 assorted One Piece TCG booster packs. Mix of recent sets.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"One Piece, Booster Boxes, Bundle, Value Pack",true,Condition,Factory Sealed,OP-005,200,shopify,25,deny,manual,24.99,,true,true,active
naruto-uzumaki-sr,Naruto Uzumaki Super Rare,"<p>Naruto Uzumaki Super Rare card. Near Mint condition. A centerpiece card for any Naruto TCG collection.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"Naruto, Singles, Rare Jutsu, Near Mint",true,Condition,Near Mint,NAR-001,50,shopify,6,deny,manual,34.99,49.99,true,true,active
naruto-booster-box,Naruto TCG Booster Box,"<p>Sealed Naruto TCG booster box — 24 packs. Pull your favorite ninja cards!</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"Naruto, Sealed Packs, Sealed Sets",true,Condition,Factory Sealed,NAR-002,800,shopify,7,deny,manual,89.99,,true,true,active
sasuke-uchiha-alt-art,Sasuke Uchiha Alt Art,"<p>Sasuke Uchiha alternate art card. Stunning artwork featuring the Sharingan. Near Mint.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"Naruto, Singles, Alt Art, Near Mint, Hot Item",true,Condition,Near Mint,NAR-003,50,shopify,3,deny,manual,44.99,59.99,true,true,active
naruto-collector-set,Naruto Collector Edition Set,"<p>Premium collector set with exclusive cards, playmat, and storage box. Limited edition.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"Naruto, Collector Sets, Sealed Sets, Limited Edition",true,Condition,Factory Sealed,NAR-004,1500,shopify,4,deny,manual,79.99,99.99,true,true,active
naruto-starter-deck,Naruto TCG Starter Deck,"<p>Ready-to-play Naruto starter deck. Great entry point for new players.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"Naruto, Sealed Packs, Starter Deck",true,Condition,Factory Sealed,NAR-005,300,shopify,18,deny,manual,12.99,,true,true,active
lol-jinx-champion-card,Jinx Champion Card — Rift Bound,"<p>Jinx champion card from the Rift Bound TCG. One of the first wave of champion cards.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"LoL Rift Bound, Champion Cards, Near Mint, New Drop",true,Condition,Near Mint,LOL-001,50,shopify,10,deny,manual,19.99,,true,true,active
lol-riftbound-starter-deck,Rift Bound Starter Deck,"<p>Official League of Legends Rift Bound starter deck. Everything you need to start playing.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"LoL Rift Bound, Starter Decks, Sealed Sets",true,Condition,Factory Sealed,LOL-002,400,shopify,20,deny,manual,16.99,,true,true,active
lol-booster-box-riftbound,Rift Bound Booster Box,"<p>Sealed Rift Bound booster box — 30 packs. Be a pioneer in this brand new TCG.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"LoL Rift Bound, Booster Packs, Sealed Sets, New Drop",true,Condition,Factory Sealed,LOL-003,900,shopify,6,deny,manual,119.99,,true,true,active
lol-yasuo-alt-art,Yasuo Alt Art — Rift Bound,"<p>Yasuo alternate art champion card. Stunning full-art illustration. Near Mint condition.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Trading Card,"LoL Rift Bound, Champion Cards, Alt Art, Near Mint",true,Condition,Near Mint,LOL-004,50,shopify,4,deny,manual,29.99,39.99,true,true,active
lol-booster-packs-5,Rift Bound 5-Pack Booster Bundle,"<p>5 Rift Bound booster packs. Great way to pull rare champion cards.</p>",TheGeekLounge,Sporting Goods > Exercise & Fitness > Trading Cards,Sealed Product,"LoL Rift Bound, Booster Packs, Bundle, Value Pack",true,Condition,Factory Sealed,LOL-005,200,shopify,30,deny,manual,22.99,,true,true,active
